x,y
2010-07-31,2
2010-08-31,0
2010-09-30,0
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-30,0
2011-05-31,0
2011-06-30,0
2011-07-31,0
2011-08-31,1
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,0
2012-02-29,1
2012-03-31,0
2012-04-30,0
2012-05-31,1
2012-06-30,0
2012-07-31,0
2012-08-31,1
2012-09-30,0
2012-10-31,1
2012-11-30,0
2012-12-31,0
2013-01-31,2
2013-02-28,3
2013-03-31,0
2013-04-30,3
2013-05-31,1
2013-06-30,1
2013-07-31,4
2013-08-31,0
2013-09-30,3
2013-10-31,6
2013-11-30,3
2013-12-31,6
2014-01-31,0
2014-02-28,4
2014-03-31,1
2014-04-30,3
2014-05-31,2
2014-06-30,2
2014-07-31,0
2014-08-31,2
2014-09-30,2
2014-10-31,4
2014-11-30,4
2014-12-31,5
2015-01-31,4
2015-02-28,4
2015-03-31,0
2015-04-30,1
2015-05-31,1
2015-06-30,1
2015-07-31,2
2015-08-31,3
2015-09-30,5
2015-10-31,0
2015-11-30,3
2015-12-31,5
2016-01-31,4
2016-02-29,5
2016-03-31,6
2016-04-30,6
2016-05-31,11
2016-06-30,8
2016-07-31,13
2016-08-31,4
2016-09-30,12
2016-10-31,8
2016-11-30,6
2016-12-31,3
2017-01-31,4
2017-02-28,18
2017-03-31,12
2017-04-30,3
2017-05-31,7
2017-06-30,27
2017-07-31,33
2017-08-31,19
2017-09-30,25
2017-10-31,22
2017-11-30,29
2017-12-31,17
2018-01-31,30
2018-02-28,32
2018-03-31,23
2018-04-30,44
2018-05-31,32
2018-06-30,39
2018-07-31,39
2018-08-31,53
2018-09-30,55
2018-10-31,58
2018-11-30,63
2018-12-31,57
2019-01-31,59
2019-02-28,52
2019-03-31,48
2019-04-30,61
2019-05-31,38
2019-06-30,63
2019-07-31,64
2019-08-31,55
2019-09-30,52
2019-10-31,42
2019-11-30,53
2019-12-31,59
2020-01-31,50
2020-02-29,56
2020-03-31,67
2020-04-30,58
2020-05-31,80
2020-06-30,79
2020-07-31,96
2020-08-31,79
2020-09-30,58
2020-10-31,62
2020-11-30,67
2020-12-31,64
2021-01-31,87
2021-02-28,96
2021-03-31,73
2021-04-30,89
2021-05-31,79
2021-06-30,79
2021-07-31,73
2021-08-31,93
2021-09-30,94
2021-10-31,70
2021-11-30,76
2021-12-31,84
2022-01-31,89
2022-02-28,92
2022-03-31,97
2022-04-30,93
2022-05-31,80
2022-06-30,97
2022-07-31,117
2022-08-31,145
2022-09-30,138
2022-10-31,131
2022-11-30,127
2022-12-31,118
2023-01-31,119
2023-02-28,147
2023-03-31,139
2023-04-30,105
2023-05-31,110
2023-06-30,116
2023-07-31,94
2023-08-31,70
2023-09-30,82
2023-10-31,44
2023-11-30,275
2023-12-31,380
2024-01-31,469
2024-02-29,373
2024-03-31,405
2024-04-30,411
2024-05-31,423
2024-06-30,413
2024-07-31,505
2024-08-31,582
2024-09-30,544
2024-10-31,586
2024-11-30,533
2024-12-31,557
2025-01-31,679
2025-02-28,815
2025-03-31,817
2025-04-30,724
2025-05-31,665
2025-06-30,771
2025-07-31,1031
2025-08-31,876
